book,chapter,verse,word,strongs_ref,order
2_timothy,1,1,"Paul,",G3972,1
2_timothy,1,1,an,,2
2_timothy,1,1,apostle,G652,3
2_timothy,1,1,of,,4
2_timothy,1,1,Jesus,G2424,5
2_timothy,1,1,Christ,G5547,7
2_timothy,1,1,by,G1223,9
2_timothy,1,1,the,,10
2_timothy,1,1,will,G2307,11
2_timothy,1,1,of,,12
2_timothy,1,1,"God,",G2316,13
2_timothy,1,1,according,,14
2_timothy,1,1,to,G2596,15
2_timothy,1,1,the,,16
2_timothy,1,1,promise,G1860,17
2_timothy,1,1,of,,18
2_timothy,1,1,life,G2222,19
2_timothy,1,1,which,G3588,21
2_timothy,1,1,is,,22
2_timothy,1,1,in,G1722,23
2_timothy,1,1,Christ,G5547,25
2_timothy,1,1,"Jesus,",G2424,27
2_timothy,1,2,To,,29
2_timothy,1,2,"Timothy,",G5095,30
2_timothy,1,2,my dearly,,31
2_timothy,1,2,beloved,G27,32
2_timothy,1,2,son:,G5043,34
2_timothy,1,2,"Grace,",G5485,36
2_timothy,1,2,"mercy,",G1656,38
2_timothy,1,2,and,,39
2_timothy,1,2,"peace,",G1515,40
2_timothy,1,2,from,G575,42
2_timothy,1,2,God,G2316,44
2_timothy,1,2,the,,45
2_timothy,1,2,Father,G3962,46
2_timothy,1,2,and,G2532,48
2_timothy,1,2,Christ,G5547,50
2_timothy,1,2,Jesus,G2424,52
2_timothy,1,2,our,G2257,54
2_timothy,1,2,Lord.,G2962,56
2_timothy,1,3,I,,58
2_timothy,1,3,thank,G2192,59
2_timothy,1,3,*,G5485,61
2_timothy,1,3,"God,",G2316,63
2_timothy,1,3,whom,G3739,65
2_timothy,1,3,I,,66
2_timothy,1,3,serve,G3000,67
2_timothy,1,3,from,G575,69
2_timothy,1,3,my,,70
2_timothy,1,3,forefathers,G4269,71
2_timothy,1,3,with,G1722,73
2_timothy,1,3,pure,G2513,75
2_timothy,1,3,"conscience,",G4893,77
2_timothy,1,3,that,G5613,79
2_timothy,1,3,without,,80
2_timothy,1,3,ceasing,G88,81
2_timothy,1,3,I,,82
2_timothy,1,3,have,G2192,83
2_timothy,1,3,remembrance,G3417,85
2_timothy,1,3,of,G4012,87
2_timothy,1,3,thee,G4675,89
2_timothy,1,3,in,G1722,91
2_timothy,1,3,my,G3450,93
2_timothy,1,3,prayers,G1162,95
2_timothy,1,3,night,G3571,97
2_timothy,1,3,and,G2532,99
2_timothy,1,3,day;,G2250,101
2_timothy,1,4,Greatly,,103
2_timothy,1,4,desiring,G1971,104
2_timothy,1,4,to,,105
2_timothy,1,4,see,G1492,106
2_timothy,1,4,"thee,",G4571,108
2_timothy,1,4,being,,109
2_timothy,1,4,mindful,G3415,110
2_timothy,1,4,of,,111
2_timothy,1,4,thy,G4675,112
2_timothy,1,4,"tears,",G1144,114
2_timothy,1,4,that,G2443,116
2_timothy,1,4,I may be,,117
2_timothy,1,4,filled,G4137,118
2_timothy,1,4,with,,119
2_timothy,1,4,joy;,G5479,120
2_timothy,1,5,When I,,122
2_timothy,1,5,call,G2983,123
2_timothy,1,5,to,,124
2_timothy,1,5,remembrance,G5280,125
2_timothy,1,5,the,,126
2_timothy,1,5,unfeigned,G505,127
2_timothy,1,5,faith,G4102,129
2_timothy,1,5,that is,,130
2_timothy,1,5,in,G1722,131
2_timothy,1,5,"thee,",G4671,133
2_timothy,1,5,which,G3748,135
2_timothy,1,5,dwelt,G1774,137
2_timothy,1,5,first,G4412,139
2_timothy,1,5,in,G1722,141
2_timothy,1,5,thy,G4675,143
2_timothy,1,5,grandmother,G3125,145
2_timothy,1,5,"Lois,",G3090,147
2_timothy,1,5,and,G2532,149
2_timothy,1,5,thy,G4675,151
2_timothy,1,5,mother,G3384,153
2_timothy,1,5,Eunice;,G2131,155
2_timothy,1,5,and,G1161,157
2_timothy,1,5,I am,,158
2_timothy,1,5,persuaded,G3982,159
2_timothy,1,5,that,G3754,161
2_timothy,1,5,in,G1722,163
2_timothy,1,5,thee,G4671,165
2_timothy,1,5,also.,G2532,167
2_timothy,1,6,Wherefore,G156,170
2_timothy,1,6,*,G1223,172
2_timothy,1,6,I,G3739,174
2_timothy,1,6,put,G363,176
2_timothy,1,6,thee,G4571,178
2_timothy,1,6,in,,179
2_timothy,1,6,remembrance,G363,180
2_timothy,1,6,that thou stir,,181
2_timothy,1,6,up,G329,182
2_timothy,1,6,the,,183
2_timothy,1,6,gift,G5486,184
2_timothy,1,6,of,,185
2_timothy,1,6,"God,",G2316,186
2_timothy,1,6,which,G3739,188
2_timothy,1,6,is,G2076,190
2_timothy,1,6,in,G1722,192
2_timothy,1,6,thee,G4671,194
2_timothy,1,6,by,G1223,196
2_timothy,1,6,the putting,,197
2_timothy,1,6,on,G1936,198
2_timothy,1,6,of,,199
2_timothy,1,6,my,G3450,200
2_timothy,1,6,hands.,G5495,202
2_timothy,1,7,For,G1063,205
2_timothy,1,7,God,G2316,207
2_timothy,1,7,hath,G1325,209
2_timothy,1,7,not,G3756,211
2_timothy,1,7,given,G1325,213
2_timothy,1,7,us,G2254,215
2_timothy,1,7,the,,216
2_timothy,1,7,spirit,G4151,217
2_timothy,1,7,of,,218
2_timothy,1,7,fear;,G1167,219
2_timothy,1,7,but,G235,221
2_timothy,1,7,of,,222
2_timothy,1,7,"power,",G1411,223
2_timothy,1,7,and,G2532,225
2_timothy,1,7,of,,226
2_timothy,1,7,"love,",G26,227
2_timothy,1,7,and,G2532,229
2_timothy,1,7,of a sound,,230
