book,chapter,verse,word,strongs_ref,order
2_peter,1,10,"brethren,",G80,290
2_peter,1,10,give,,291
2_peter,1,10,diligence,G4704,292
2_peter,1,10,to,,293
2_peter,1,10,make,G4160,294
2_peter,1,10,your,G5216,296
2_peter,1,10,calling,G2821,298
2_peter,1,10,and,G2532,300
2_peter,1,10,election,G1589,302
2_peter,1,10,sure:,G949,304
2_peter,1,10,for,G1063,306
2_peter,1,10,if ye,,307
2_peter,1,10,do,G4160,308
2_peter,1,10,these,,309
2_peter,1,10,"things,",G5023,310
2_peter,1,10,ye,,311
2_peter,1,10,shall,G4218,312
2_peter,1,10,*,G4417,314
2_peter,1,10,never,G3364,316
2_peter,1,10,fall,G4417,318
2_peter,1,10,*,G4218,320
2_peter,1,10,:,,321
2_peter,1,11,For,G1063,323
2_peter,1,11,so,G3779,325
2_peter,1,11,an,,326
2_peter,1,11,entrance,G1529,327
2_peter,1,11,shall be,,328
2_peter,1,11,ministered,G2023,329
2_peter,1,11,unto,,330
2_peter,1,11,you,G5213,331
2_peter,1,11,abundantly,G4146,333
2_peter,1,11,into,G1519,335
2_peter,1,11,the,,336
2_peter,1,11,everlasting,G166,337
2_peter,1,11,kingdom,G932,339
2_peter,1,11,of,,340
2_peter,1,11,our,G2257,341
2_peter,1,11,Lord,G2962,343
2_peter,1,11,and,G2532,345
2_peter,1,11,Saviour,G4990,347
2_peter,1,11,Jesus,G2424,349
2_peter,1,11,Christ.,G5547,351
2_peter,1,12,Wherefore,G1352,354
2_peter,1,12,I,,355
2_peter,1,12,will,G272,356
2_peter,1,12,not,G3756,358
2_peter,1,12,be,,359
2_peter,1,12,negligent,G272,360
2_peter,1,12,to,,361
2_peter,1,12,put,G5279,362
2_peter,1,12,you,G5209,364
2_peter,1,12,always,G104,366
2_peter,1,12,in,,367
2_peter,1,12,remembrance,G5279,368
2_peter,1,12,of,G4012,370
2_peter,1,12,these,,371
2_peter,1,12,"things,",G5130,372
2_peter,1,12,though,G2539,374
2_peter,1,12,ye,,375
2_peter,1,12,know,G1492,376
2_peter,1,12,"them,",,377
2_peter,1,12,and,G2532,378
2_peter,1,12,be,,379
2_peter,1,12,established,G4741,380
2_peter,1,12,in,G1722,382
2_peter,1,12,the,,383
2_peter,1,12,present,G3918,384
2_peter,1,12,truth.,G225,386
2_peter,1,13,"Yea,",G1161,389
2_peter,1,13,I think,,390
2_peter,1,13,it,G2233,391
2_peter,1,13,"meet,",G1342,393
2_peter,1,13,as long,,394
2_peter,1,13,as,G3745,395
2_peter,1,13,I,G1909,397
2_peter,1,13,am,G1510,399
2_peter,1,13,in,G1722,401
2_peter,1,13,this,G5129,403
2_peter,1,13,"tabernacle,",G4638,405
2_peter,1,13,to,,406
2_peter,1,13,stir,G1326,407
2_peter,1,13,you,G5209,409
2_peter,1,13,up,G1326,411
2_peter,1,13,by,G1722,413
2_peter,1,13,putting you in,,414
2_peter,1,13,remembrance;,G5280,415
2_peter,1,14,Knowing,G1492,418
2_peter,1,14,that,G3754,420
2_peter,1,14,shortly,G5031,422
2_peter,1,14,I,,423
2_peter,1,14,must,G2076,424
2_peter,1,14,put,,425
2_peter,1,14,off,G595,426
2_peter,1,14,this,,427
2_peter,1,14,my,G3450,428
2_peter,1,14,"tabernacle,",G4638,430
2_peter,1,14,even,G2532,432
2_peter,1,14,as,G2531,434
2_peter,1,14,our,G2257,436
2_peter,1,14,Lord,G2962,438
2_peter,1,14,Jesus,G2424,440
2_peter,1,14,Christ,G5547,442
2_peter,1,14,hath,,443
2_peter,1,14,shewed,G1213,444
2_peter,1,14,me.,G3427,446
2_peter,1,15,Moreover,G2532,449
2_peter,1,15,I,G1161,451
2_peter,1,15,will,,452
2_peter,1,15,endeavour,G4704,453
2_peter,1,15,that,,454
2_peter,1,15,ye,G5209,455
2_peter,1,15,may be,,456
2_peter,1,15,able,G2192,457
2_peter,1,15,after,G3326,459
2_peter,1,15,my,G1699,461
2_peter,1,15,decease,G1841,463
2_peter,1,15,to,,464
2_peter,1,15,have,G4160,465
2_peter,1,15,these,,466
2_peter,1,15,things,G5130,467
2_peter,1,15,always,G1539,469
2_peter,1,15,in,,470
2_peter,1,15,remembrance.,G3420,471
2_peter,1,16,For,G1063,474
2_peter,1,16,we,,475
2_peter,1,16,have,G1811,476
2_peter,1,16,not,G3756,478
2_peter,1,16,followed,G1811,480
2_peter,1,16,cunningly,,481
2_peter,1,16,devised,G4679,482
2_peter,1,16,"fables,",G3454,484
2_peter,1,16,when we made,,485
2_peter,1,16,known,G1107,486
2_peter,1,16,unto,,487
2_peter,1,16,you,G5213,488
2_peter,1,16,the,,489
2_peter,1,16,power,G1411,490
2_peter,1,16,and,G2532,492
2_peter,1,16,coming,G3952,494
2_peter,1,16,of,,495
2_peter,1,16,our,G2257,496
2_peter,1,16,Lord,G2962,498
2_peter,1,16,Jesus,G2424,500
2_peter,1,16,"Christ,",G5547,502
2_peter,1,16,but,G235,504
2_peter,1,16,were,G1096,506
2_peter,1,16,eyewitnesses,G2030,508
2_peter,1,16,of,,509
2_peter,1,16,his,G1565,510
2_peter,1,16,majesty.,G3168,512
2_peter,1,17,For,G1063,515
2_peter,1,17,he,,516
2_peter,1,17,received,G2983,517
2_peter,1,17,from,G3844,519
2_peter,1,17,God,G2316,521
2_peter,1,17,the,,522
2_peter,1,17,Father,G3962,523
2_peter,1,17,honour,G5092,525
2_peter,1,17,and,G2532,527
2_peter,1,17,"glory,",G1391,529
2_peter,1,17,when there,,530
2_peter,1,17,came,G5342,531
2_peter,1,17,such,G5107,533
2_peter,1,17,a,,534
2_peter,1,17,voice,G5456,535
2_peter,1,17,to,,536
2_peter,1,17,him,G846,537
2_peter,1,17,from,G5259,539
2_peter,1,17,the,,540
2_peter,1,17,excellent,G3169,541
2_peter,1,17,"glory,",G1391,543
2_peter,1,17,This,G3778,545
2_peter,1,17,is,G2076,547
2_peter,1,17,my,G3450,549
2_peter,1,17,beloved,G27,551
2_peter,1,17,"Son,",G5207,553
2_peter,1,17,in,G1519,555
2_peter,1,17,whom,G3739,557
2_peter,1,17,I,G1473,559
2_peter,1,17,am well,,560
2_peter,1,17,pleased,G2106,561
2_peter,1,17,.,,562
2_peter,1,18,And,G2532,564
2_peter,1,18,this,G5026,566
2_peter,1,18,voice,G5456,568
2_peter,1,18,which,,569
2_peter,1,18,came,G5342,570
2_peter,1,18,from,G1537,572
2_peter,1,18,heaven,G3772,574
2_peter,1,18,we,G2249,576
2_peter,1,18,heard,G191,578
2_peter,1,18,", when we",,579
2_peter,1,18,were,G5607,580
2_peter,1,18,with,G4862,582
2_peter,1,18,him,G846,584
2_peter,1,18,in,G1722,586
2_peter,1,18,the,,587
2_peter,1,18,holy,G40,588
2_peter,1,18,mount.,G3735,590
2_peter,1,19,We,,592
2_peter,1,19,have,G2192,593
2_peter,1,19,also,G2532,595
2_peter,1,19,a more,,596
2_peter,1,19,sure,G949,597
2_peter,1,19,word,G3056,599
2_peter,1,19,of,,600
2_peter,1,19,prophecy;,G4397,601
2_peter,1,19,whereunto,G3739,603
2_peter,1,19,ye,,604
2_peter,1,19,do,G4160,605
2_peter,1,19,well,G2573,607
2_peter,1,19,that ye take,,608
2_peter,1,19,heed,G4337,609
2_peter,1,19,",",,610
2_peter,1,19,as,G5613,611
2_peter,1,19,unto a,,612
2_peter,1,19,light,G3088,613
2_peter,1,19,that,,614
2_peter,1,19,shineth,G5316,615
2_peter,1,19,in,G1722,617
2_peter,1,19,a,,618
2_peter,1,19,dark,G850,619
2_peter,1,19,"place,",G5117,621
2_peter,1,19,until,G3757,623
2_peter,1,19,the,G2193,625
2_peter,1,19,day,G2250,627
2_peter,1,19,dawn,G1306,629
2_peter,1,19,",",,630
2_peter,1,19,and,G2532,631
2_peter,1,19,the day,,632
2_peter,1,19,star,G5459,633
2_peter,1,19,arise,G393,635
2_peter,1,19,in,G1722,637
2_peter,1,19,your,G5216,639
2_peter,1,19,hearts:,G2588,641
2_peter,1,20,Knowing,G1097,644
2_peter,1,20,this,G5124,646
2_peter,1,20,"first,",G4412,648
2_peter,1,20,that,G3754,650
2_peter,1,20,no,G3956,652
2_peter,1,20,*,G3756,654
2_peter,1,20,prophecy,G4394,656
